#separator:Tab
#html:true
#notetype:Basic
#deck:Pareto LeetCode
#tags column:3
#columns:Front	Back	Tags
<b>01. Contains Duplicate</b><br><a href="https://leetcode.com/problems/contains-duplicate/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing easy p01
<b>02. Valid Anagram</b><br><a href="https://leetcode.com/problems/valid-anagram/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing easy p02
<b>03. Two Sum</b><br><a href="https://leetcode.com/problems/two-sum/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing easy p03
<b>04. Group Anagrams</b><br><a href="https://leetcode.com/problems/group-anagrams/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing medium p04
<b>05. Top K Frequent Elements</b><br><a href="https://leetcode.com/problems/top-k-frequent-elements/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing medium p05
<b>06. Valid Sudoku</b><br><a href="https://leetcode.com/problems/valid-sudoku/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing medium p06
<b>07. Product of Array Except Self</b><br><a href="https://leetcode.com/problems/product-of-array-except-self/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing medium p07
<b>08. Longest Consecutive Sequence</b><br><a href="https://leetcode.com/problems/longest-consecutive-sequence/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Arrays &amp; Hashing<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto arrays_hashing medium p08
<b>09. Valid Palindrome</b><br><a href="https://leetcode.com/problems/valid-palindrome/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Two Pointers<br><b>Difficulty:</b> Easy<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto two_pointers easy p09
<b>10. Two Sum II - Input Array Is Sorted</b><br><a href="https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/">Open on LeetCode</a><br><br>From a blank editor: explain the approach and invariant, give time/space complexity, identify edge cases, then implement it.	<b>Recall notes:</b> Add your own 2-5 bullet summary after your first accepted solve; do not paste full code.<br><br><b>Category:</b> Two Pointers<br><b>Difficulty:</b> Medium<br><br>Compare with your tracker and accepted submission, then grade using START-HERE.md.	pareto two_pointers medium p10
